Date,Open,High,Low,Close,Volume,Adj Close
2015-07-21,6350.0,7350.0,5710.0,7350.0,1168900.0,7350.0
2015-07-22,6600.0,7830.0,6380.0,6820.0,2291600.0,6820.0
2015-07-23,7170.0,7660.0,6800.0,7300.0,1576000.0,7300.0
2015-07-24,7300.0,7580.0,6430.0,6570.0,770100.0,6570.0
2015-07-27,6170.0,6430.0,5920.0,6010.0,277300.0,6010.0
2015-07-28,5720.0,6330.0,5660.0,6130.0,246800.0,6130.0
2015-07-29,6200.0,6290.0,5850.0,5850.0,108000.0,5850.0
2015-07-30,5750.0,5830.0,5470.0,5520.0,143800.0,5520.0
2015-07-31,5620.0,6000.0,5260.0,5900.0,215600.0,5900.0
2015-08-03,6180.0,6570.0,6090.0,6120.0,511800.0,6120.0
2015-08-04,6080.0,6210.0,5530.0,5610.0,185700.0,5610.0
2015-08-05,5630.0,5810.0,5360.0,5690.0,121000.0,5690.0
2015-08-06,5740.0,5870.0,5520.0,5540.0,115900.0,5540.0
2015-08-07,5410.0,5470.0,5180.0,5180.0,86800.0,5180.0
2015-08-10,4805.0,4895.0,4720.0,4800.0,116500.0,4800.0
2015-08-11,4760.0,5050.0,4580.0,4645.0,113600.0,4645.0
2015-08-12,4645.0,4990.0,4605.0,4910.0,110200.0,4910.0
2015-08-13,4700.0,4800.0,4510.0,4605.0,110700.0,4605.0
2015-08-14,4535.0,4535.0,4100.0,4215.0,105200.0,4215.0
2015-08-17,4015.0,4420.0,3980.0,4340.0,101300.0,4340.0
2015-08-18,4400.0,4720.0,4355.0,4595.0,136800.0,4595.0
2015-08-19,4500.0,4555.0,4275.0,4305.0,71500.0,4305.0
2015-08-20,4165.0,4385.0,4075.0,4160.0,64100.0,4160.0
2015-08-21,3910.0,4100.0,3740.0,3770.0,96500.0,3770.0
2015-08-24,3630.0,3655.0,3070.0,3080.0,130400.0,3080.0
2015-08-25,3110.0,3385.0,2765.0,3000.0,132800.0,3000.0
2015-08-26,3210.0,3330.0,3055.0,3325.0,55800.0,3325.0
2015-08-27,3350.0,3480.0,3225.0,3265.0,80200.0,3265.0
2015-08-28,3330.0,3395.0,3245.0,3270.0,61900.0,3270.0
2015-08-31,3340.0,3970.0,3250.0,3970.0,131300.0,3970.0
2015-09-01,3930.0,4435.0,3740.0,3870.0,434200.0,3870.0
2015-09-02,3905.0,4295.0,3905.0,4140.0,238600.0,4140.0
2015-09-03,4290.0,4470.0,3660.0,3765.0,172700.0,3765.0
2015-09-04,3700.0,3700.0,3180.0,3470.0,96700.0,3470.0
