Date,Open,High,Low,Close,Volume,Adj Close
2015-01-30,601.0,606.0,596.0,600.0,15500.0,600.0
2015-02-02,599.0,607.0,593.0,595.0,15300.0,595.0
2015-02-03,594.0,610.0,592.0,595.0,21200.0,595.0
2015-02-04,602.0,611.0,599.0,609.0,17700.0,609.0
2015-02-05,617.0,628.0,613.0,625.0,42000.0,625.0
2015-02-06,640.0,651.0,628.0,632.0,69200.0,632.0
2015-02-09,639.0,640.0,613.0,616.0,37100.0,616.0
2015-02-10,616.0,620.0,600.0,612.0,15800.0,612.0
2015-02-11,,,,,,
2015-02-12,610.0,618.0,608.0,612.0,17800.0,612.0
2015-02-13,602.0,612.0,578.0,581.0,41200.0,581.0
2015-02-16,597.0,619.0,596.0,615.0,33800.0,615.0
2015-02-17,617.0,621.0,604.0,608.0,32900.0,608.0
2015-02-18,615.0,617.0,612.0,615.0,11100.0,615.0
2015-02-19,630.0,639.0,617.0,630.0,42600.0,630.0
2015-02-20,640.0,641.0,635.0,639.0,17000.0,639.0
2015-02-23,639.0,641.0,637.0,638.0,13100.0,638.0
2015-02-24,638.0,640.0,637.0,638.0,14100.0,638.0
2015-02-25,640.0,649.0,640.0,645.0,18800.0,645.0
2015-02-26,640.0,646.0,640.0,645.0,19200.0,645.0
2015-02-27,642.0,643.0,635.0,638.0,22900.0,638.0
2015-03-02,640.0,648.0,639.0,641.0,21500.0,641.0
2015-03-03,641.0,642.0,626.0,636.0,18000.0,636.0
2015-03-04,638.0,638.0,616.0,625.0,16700.0,625.0
2015-03-05,629.0,635.0,623.0,624.0,9600.0,624.0
2015-03-06,617.0,623.0,616.0,619.0,14900.0,619.0
2015-03-09,619.0,620.0,611.0,612.0,26700.0,612.0
2015-03-10,613.0,621.0,611.0,615.0,12800.0,615.0
2015-03-11,615.0,616.0,599.0,610.0,47300.0,610.0
2015-03-12,612.0,638.0,612.0,621.0,8400.0,621.0
2015-03-13,623.0,638.0,623.0,628.0,27200.0,628.0
2015-03-16,631.0,637.0,629.0,631.0,20800.0,631.0
2015-03-17,633.0,635.0,631.0,632.0,15000.0,632.0
2015-03-18,626.0,634.0,625.0,632.0,15500.0,632.0
2015-03-19,632.0,635.0,625.0,627.0,18800.0,627.0
2015-03-20,628.0,643.0,628.0,641.0,31200.0,641.0
2015-03-23,645.0,659.0,645.0,652.0,27100.0,652.0
2015-03-24,655.0,659.0,630.0,645.0,33600.0,645.0
2015-03-25,645.0,645.0,626.0,633.0,25300.0,633.0
