Date,Open,High,Low,Close,Volume,Adj Close
2015-01-30,322.0,328.0,317.0,327.0,21200.0,327.0
2015-02-02,327.0,328.0,321.0,325.0,8400.0,325.0
2015-02-03,325.0,325.0,313.0,319.0,11600.0,319.0
2015-02-04,319.0,321.0,312.0,316.0,24900.0,316.0
2015-02-05,316.0,318.0,313.0,314.0,9800.0,314.0
2015-02-06,315.0,318.0,312.0,313.0,16700.0,313.0
2015-02-09,316.0,320.0,312.0,320.0,12600.0,320.0
2015-02-10,320.0,320.0,315.0,315.0,23600.0,315.0
2015-02-11,,,,,,
2015-02-12,317.0,347.0,317.0,337.0,93100.0,337.0
2015-02-13,313.0,326.0,309.0,314.0,119300.0,314.0
2015-02-16,320.0,320.0,314.0,320.0,39000.0,320.0
2015-02-17,320.0,323.0,312.0,315.0,30000.0,315.0
2015-02-18,315.0,319.0,314.0,315.0,27300.0,315.0
2015-02-19,323.0,347.0,319.0,321.0,114800.0,321.0
2015-02-20,330.0,387.0,323.0,360.0,325000.0,360.0
2015-02-23,360.0,362.0,347.0,361.0,113700.0,361.0
2015-02-24,377.0,388.0,365.0,377.0,193100.0,377.0
2015-02-25,383.0,385.0,351.0,356.0,101200.0,356.0
2015-02-26,348.0,354.0,338.0,354.0,56700.0,354.0
2015-02-27,351.0,360.0,348.0,353.0,23900.0,353.0
2015-03-02,355.0,355.0,340.0,341.0,29600.0,341.0
2015-03-03,338.0,339.0,322.0,323.0,59100.0,323.0
2015-03-04,323.0,327.0,317.0,327.0,32700.0,327.0
2015-03-05,328.0,333.0,316.0,327.0,43300.0,327.0
2015-03-06,330.0,377.0,327.0,361.0,119200.0,361.0
2015-03-09,353.0,367.0,345.0,355.0,55800.0,355.0
2015-03-10,427.0,435.0,382.0,405.0,688200.0,405.0
2015-03-11,420.0,423.0,375.0,417.0,276200.0,417.0
2015-03-12,409.0,485.0,406.0,457.0,597200.0,457.0
2015-03-13,452.0,455.0,431.0,441.0,216000.0,441.0
2015-03-16,425.0,428.0,407.0,416.0,101100.0,416.0
2015-03-17,416.0,416.0,381.0,381.0,103700.0,381.0
2015-03-18,384.0,399.0,382.0,384.0,58900.0,384.0
2015-03-19,384.0,401.0,360.0,383.0,102600.0,383.0
2015-03-20,381.0,389.0,370.0,377.0,33600.0,377.0
2015-03-23,377.0,401.0,377.0,399.0,62000.0,399.0
2015-03-24,405.0,405.0,390.0,390.0,46900.0,390.0
2015-03-25,392.0,450.0,392.0,416.0,258700.0,416.0
2015-03-26,408.0,410.0,380.0,380.0,112400.0,380.0
2015-03-27,380.0,392.0,370.0,390.0,81700.0,390.0
2015-03-30,382.0,395.0,379.0,389.0,38000.0,389.0
2015-03-31,389.0,393.0,378.0,378.0,40800.0,378.0
2015-04-01,393.0,393.0,381.0,389.0,46400.0,389.0
2015-04-02,383.0,416.0,383.0,400.0,92500.0,400.0
2015-04-03,400.0,403.0,374.0,380.0,74300.0,380.0
2015-04-06,375.0,388.0,373.0,382.0,18100.0,382.0
2015-04-07,384.0,415.0,382.0,404.0,62100.0,404.0
2015-04-08,402.0,414.0,392.0,397.0,38200.0,397.0
2015-04-09,397.0,401.0,390.0,392.0,15400.0,392.0
2015-04-10,389.0,392.0,377.0,384.0,36800.0,384.0
2015-04-13,384.0,393.0,380.0,388.0,10100.0,388.0
2015-04-14,385.0,398.0,385.0,395.0,20900.0,395.0
2015-04-15,394.0,407.0,390.0,400.0,30000.0,400.0
2015-04-16,400.0,401.0,386.0,386.0,24300.0,386.0
2015-04-17,399.0,401.0,393.0,398.0,21000.0,398.0
2015-04-20,403.0,408.0,393.0,399.0,46000.0,399.0
