Date,Open,High,Low,Close,Volume,Adj Close
2015-01-30,593.0,619.0,593.0,602.0,429600.0,602.0
2015-02-02,600.0,635.0,598.0,633.0,686700.0,633.0
2015-02-03,633.0,733.0,615.0,637.0,4312300.0,637.0
2015-02-04,665.0,680.0,641.0,648.0,757300.0,648.0
2015-02-05,641.0,647.0,622.0,626.0,390000.0,626.0
2015-02-06,623.0,632.0,611.0,616.0,352100.0,616.0
2015-02-09,616.0,630.0,614.0,628.0,198700.0,628.0
2015-02-10,647.0,686.0,633.0,643.0,996300.0,643.0
2015-02-11,,,,,,
2015-02-12,650.0,658.0,631.0,632.0,303600.0,632.0
2015-02-13,628.0,628.0,610.0,618.0,334400.0,618.0
2015-02-16,628.0,710.0,622.0,668.0,2274200.0,668.0
2015-02-17,708.0,748.0,682.0,733.0,3222400.0,733.0
2015-02-18,736.0,738.0,690.0,701.0,1192500.0,701.0
2015-02-19,708.0,715.0,677.0,696.0,777500.0,696.0
2015-02-20,691.0,725.0,690.0,724.0,897800.0,724.0
2015-02-23,750.0,840.0,740.0,835.0,5154500.0,835.0
2015-02-24,809.0,858.0,791.0,801.0,2834400.0,801.0
2015-02-25,797.0,838.0,791.0,824.0,1182200.0,824.0
2015-02-26,844.0,865.0,815.0,842.0,1396500.0,842.0
2015-02-27,834.0,840.0,798.0,802.0,1234500.0,802.0
2015-03-02,800.0,810.0,748.0,750.0,1300600.0,750.0
2015-03-03,738.0,753.0,706.0,720.0,1102900.0,720.0
2015-03-04,711.0,754.0,694.0,727.0,1205200.0,727.0
2015-03-05,712.0,734.0,705.0,705.0,696800.0,705.0
2015-03-06,715.0,789.0,707.0,772.0,1937500.0,772.0
2015-03-09,758.0,817.0,758.0,768.0,1925200.0,768.0
2015-03-10,762.0,777.0,735.0,736.0,730600.0,736.0
2015-03-11,721.0,787.0,717.0,775.0,917500.0,775.0
2015-03-12,794.0,814.0,771.0,783.0,1268700.0,783.0
2015-03-13,790.0,798.0,752.0,760.0,503600.0,760.0
2015-03-16,747.0,799.0,741.0,760.0,824700.0,760.0
2015-03-17,771.0,793.0,752.0,756.0,448200.0,756.0
2015-03-18,765.0,765.0,741.0,749.0,408200.0,749.0
2015-03-19,769.0,786.0,760.0,766.0,823300.0,766.0
2015-03-20,766.0,767.0,746.0,754.0,386000.0,754.0
2015-03-23,766.0,815.0,758.0,797.0,1974900.0,797.0
2015-03-24,799.0,799.0,772.0,774.0,633100.0,774.0
2015-03-25,781.0,798.0,770.0,780.0,790700.0,780.0
2015-03-26,775.0,778.0,753.0,760.0,436900.0,760.0
2015-03-27,761.0,775.0,740.0,744.0,431400.0,744.0
2015-03-30,740.0,743.0,726.0,736.0,357200.0,736.0
2015-03-31,727.0,759.0,727.0,745.0,306500.0,745.0
2015-04-01,743.0,747.0,729.0,730.0,199600.0,730.0
2015-04-02,732.0,739.0,710.0,712.0,322500.0,712.0
2015-04-03,710.0,711.0,694.0,698.0,432100.0,698.0
2015-04-06,683.0,694.0,678.0,683.0,366900.0,683.0
2015-04-07,697.0,752.0,693.0,740.0,1601100.0,740.0
2015-04-08,750.0,755.0,721.0,727.0,529600.0,727.0
2015-04-09,722.0,727.0,713.0,714.0,288700.0,714.0
2015-04-10,720.0,720.0,708.0,712.0,199500.0,712.0
2015-04-13,711.0,713.0,698.0,706.0,393300.0,706.0
2015-04-14,702.0,737.0,702.0,720.0,442300.0,720.0
2015-04-15,717.0,735.0,710.0,718.0,349800.0,718.0
2015-04-16,728.0,728.0,710.0,712.0,259400.0,712.0
2015-04-17,711.0,718.0,706.0,711.0,181200.0,711.0
2015-04-20,700.0,707.0,697.0,703.0,218600.0,703.0
2015-04-21,699.0,705.0,695.0,700.0,245100.0,700.0
2015-04-22,710.0,714.0,697.0,698.0,338900.0,698.0
2015-04-23,699.0,720.0,698.0,701.0,505700.0,701.0
2015-04-24,702.0,714.0,700.0,703.0,208700.0,703.0
2015-04-27,712.0,712.0,703.0,703.0,180600.0,703.0
2015-04-28,703.0,704.0,697.0,697.0,206300.0,697.0
2015-04-29,,,,,,
2015-04-30,693.0,695.0,668.0,674.0,385300.0,674.0
2015-05-01,654.0,675.0,654.0,667.0,328800.0,667.0
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,661.0,698.0,655.0,681.0,231800.0,681.0
2015-05-08,674.0,693.0,674.0,677.0,168200.0,677.0
2015-05-11,681.0,684.0,662.0,665.0,212400.0,665.0
2015-05-12,665.0,673.0,661.0,667.0,107000.0,667.0
2015-05-13,669.0,669.0,656.0,656.0,207500.0,656.0
2015-05-14,696.0,713.0,658.0,664.0,926100.0,664.0
2015-05-15,614.0,639.0,604.0,626.0,1018700.0,626.0
2015-05-18,644.0,715.0,631.0,677.0,1162300.0,677.0
2015-05-19,700.0,727.0,676.0,716.0,1386700.0,716.0
2015-05-20,742.0,746.0,710.0,723.0,1105600.0,723.0
2015-05-21,725.0,735.0,708.0,710.0,487000.0,710.0
2015-05-22,706.0,729.0,697.0,729.0,475600.0,729.0
2015-05-25,735.0,744.0,712.0,724.0,821300.0,724.0
2015-05-26,721.0,732.0,711.0,720.0,700700.0,720.0
2015-05-27,720.0,725.0,704.0,704.0,414700.0,704.0
2015-05-28,704.0,709.0,690.0,690.0,377500.0,690.0
2015-05-29,690.0,692.0,673.0,683.0,330800.0,683.0
2015-06-01,683.0,687.0,675.0,687.0,216300.0,687.0
2015-06-02,715.0,722.0,691.0,695.0,522500.0,695.0
2015-06-03,696.0,709.0,696.0,704.0,245600.0,704.0
2015-06-04,700.0,705.0,693.0,696.0,228400.0,696.0
2015-06-05,700.0,700.0,683.0,685.0,259400.0,685.0
2015-06-08,685.0,687.0,672.0,673.0,231700.0,673.0
2015-06-09,660.0,670.0,654.0,657.0,331000.0,657.0
2015-06-10,654.0,656.0,641.0,644.0,330700.0,644.0
2015-06-11,648.0,669.0,644.0,658.0,237700.0,658.0
2015-06-12,656.0,673.0,649.0,654.0,277600.0,654.0
2015-06-15,650.0,653.0,638.0,642.0,299400.0,642.0
2015-06-16,640.0,642.0,626.0,626.0,288200.0,626.0
2015-06-17,624.0,626.0,620.0,622.0,221600.0,622.0
2015-06-18,620.0,630.0,617.0,625.0,286200.0,625.0
2015-06-19,634.0,638.0,628.0,629.0,241000.0,629.0
2015-06-22,624.0,634.0,618.0,626.0,261700.0,626.0
2015-06-23,626.0,630.0,620.0,620.0,258400.0,620.0
2015-06-24,618.0,624.0,615.0,616.0,306100.0,616.0
2015-06-25,613.0,615.0,609.0,609.0,233000.0,609.0
2015-06-26,607.0,646.0,605.0,625.0,445500.0,625.0
2015-06-29,605.0,615.0,603.0,606.0,311600.0,606.0
2015-06-30,602.0,617.0,602.0,609.0,189000.0,609.0
2015-07-01,616.0,619.0,609.0,619.0,158000.0,619.0
2015-07-02,624.0,629.0,618.0,618.0,164800.0,618.0
2015-07-03,630.0,636.0,617.0,625.0,307600.0,625.0
2015-07-06,617.0,629.0,605.0,611.0,261700.0,611.0
2015-07-07,611.0,618.0,608.0,612.0,206200.0,612.0
2015-07-08,614.0,614.0,581.0,594.0,382400.0,594.0
2015-07-09,544.0,600.0,510.0,599.0,719100.0,599.0
2015-07-10,591.0,601.0,568.0,571.0,286400.0,571.0
2015-07-13,571.0,584.0,568.0,572.0,177900.0,572.0
2015-07-14,576.0,597.0,572.0,597.0,308900.0,597.0
2015-07-15,600.0,600.0,577.0,580.0,181100.0,580.0
2015-07-16,582.0,595.0,581.0,585.0,167200.0,585.0
2015-07-17,586.0,597.0,585.0,595.0,96400.0,595.0
2015-07-20,,,,,,
2015-07-21,616.0,617.0,598.0,608.0,242700.0,608.0
2015-07-22,608.0,618.0,600.0,618.0,155600.0,618.0
2015-07-23,621.0,621.0,610.0,612.0,148500.0,612.0
2015-07-24,612.0,625.0,605.0,609.0,180200.0,609.0
2015-07-27,602.0,607.0,595.0,601.0,118700.0,601.0
2015-07-28,594.0,598.0,584.0,590.0,111500.0,590.0
2015-07-29,592.0,608.0,592.0,594.0,104900.0,594.0
2015-07-30,588.0,599.0,574.0,577.0,220200.0,577.0
2015-07-31,570.0,581.0,560.0,569.0,204600.0,569.0
2015-08-03,567.0,567.0,543.0,545.0,270600.0,545.0
2015-08-04,535.0,544.0,527.0,527.0,228600.0,527.0
2015-08-05,521.0,523.0,505.0,507.0,416600.0,507.0
2015-08-06,506.0,523.0,505.0,507.0,306200.0,507.0
2015-08-07,507.0,516.0,491.0,491.0,491100.0,491.0
2015-08-10,499.0,557.0,495.0,528.0,1813700.0,528.0
2015-08-11,522.0,537.0,507.0,509.0,339300.0,509.0
2015-08-12,508.0,513.0,495.0,495.0,314300.0,495.0
2015-08-13,492.0,495.0,481.0,483.0,292800.0,483.0
2015-08-14,485.0,505.0,476.0,492.0,336500.0,492.0
2015-08-17,479.0,489.0,474.0,480.0,324900.0,480.0
2015-08-18,474.0,487.0,473.0,479.0,306000.0,479.0
2015-08-19,473.0,474.0,453.0,457.0,354400.0,457.0
2015-08-20,450.0,454.0,440.0,441.0,292500.0,441.0
2015-08-21,417.0,418.0,396.0,401.0,953200.0,401.0
2015-08-24,386.0,400.0,365.0,370.0,759200.0,370.0
2015-08-25,322.0,400.0,320.0,365.0,830900.0,365.0
2015-08-26,359.0,397.0,359.0,395.0,441900.0,395.0
2015-08-27,385.0,410.0,385.0,397.0,419100.0,397.0
2015-08-28,405.0,477.0,405.0,477.0,1733500.0,477.0
2015-08-31,505.0,526.0,478.0,505.0,1885400.0,505.0
2015-09-01,605.0,605.0,605.0,605.0,197500.0,605.0
2015-09-02,600.0,694.0,581.0,667.0,12313900.0,667.0
2015-09-03,697.0,703.0,637.0,651.0,4278100.0,651.0
2015-09-04,641.0,641.0,551.0,559.0,2850000.0,559.0
2015-09-07,548.0,575.0,515.0,539.0,1558100.0,539.0
