Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,5010.0,6010.0,4665.0,5750.0,2013100.0,5750.0
2015-12-16,6090.0,6180.0,4750.0,4750.0,1604500.0,4750.0
2015-12-17,4500.0,4550.0,4070.0,4090.0,772300.0,4090.0
2015-12-18,4230.0,4635.0,3950.0,4170.0,553900.0,4170.0
2015-12-21,4100.0,4740.0,3965.0,4145.0,537600.0,4145.0
2015-12-22,4005.0,4105.0,3485.0,3565.0,290200.0,3565.0
2015-12-23,,,,,,
2015-12-24,3425.0,3470.0,3115.0,3115.0,190900.0,3115.0
2015-12-25,3255.0,3480.0,3005.0,3450.0,217700.0,3450.0
2015-12-28,3610.0,3670.0,3420.0,3535.0,147800.0,3535.0
2015-12-29,3715.0,3995.0,3530.0,3580.0,342100.0,3580.0
2015-12-30,3700.0,4280.0,3685.0,4280.0,268400.0,4280.0
2015-12-31,,,,,,
2016-01-01,,,,,,
2016-01-04,4460.0,4480.0,3915.0,4130.0,400700.0,4130.0
2016-01-05,4000.0,4090.0,3640.0,3680.0,212400.0,3680.0
2016-01-06,3650.0,3780.0,3390.0,3400.0,135400.0,3400.0
2016-01-07,3380.0,3530.0,3185.0,3255.0,83100.0,3255.0
2016-01-08,3190.0,3310.0,3130.0,3310.0,62700.0,3310.0
2016-01-11,,,,,,
2016-01-12,3375.0,3420.0,2850.0,2923.0,104500.0,2923.0
2016-01-13,2973.0,3100.0,2850.0,3070.0,63600.0,3070.0
2016-01-14,2850.0,3000.0,2761.0,2940.0,51100.0,2940.0
2016-01-15,2968.0,3135.0,2765.0,2765.0,45700.0,2765.0
2016-01-18,2615.0,2793.0,2505.0,2720.0,61200.0,2720.0
2016-01-19,2670.0,2800.0,2650.0,2749.0,24100.0,2749.0
2016-01-20,2760.0,2785.0,2450.0,2475.0,42000.0,2475.0
2016-01-21,2505.0,2603.0,2244.0,2275.0,57100.0,2275.0
2016-01-22,2470.0,2550.0,2355.0,2545.0,34600.0,2545.0
2016-01-25,2595.0,2745.0,2425.0,2653.0,65100.0,2653.0
2016-01-26,2580.0,2865.0,2520.0,2614.0,70800.0,2614.0
2016-01-27,2668.0,2860.0,2668.0,2722.0,61400.0,2722.0
2016-01-28,2772.0,3225.0,2725.0,3225.0,158400.0,3225.0
2016-01-29,3160.0,3200.0,2860.0,3015.0,123800.0,3015.0
2016-02-01,3035.0,3170.0,2976.0,2981.0,38600.0,2981.0
2016-02-02,2971.0,2971.0,2779.0,2800.0,31900.0,2800.0
2016-02-03,2700.0,2720.0,2590.0,2603.0,22800.0,2603.0
2016-02-04,2585.0,2769.0,2573.0,2618.0,22900.0,2618.0
